location,population_r
Ch-Hubei,59020000
Ch-Guangdong,113460000
Ch-Henan,94000000
Ch-Zhejiang,57370000
Ch-Hunan,67370000
Ch-Anhui,62000000
Ch-Jiangxi,45200000
Ch-Shandong,100470000
Ch-Jiangsu,80400000
Ch-Chongqing,30480000
Ch-Sichuan,81100000
Ch-Heilongjiang,38310000
Ch-Beijing,21540000
Ch-Shanghai,24240000
Ch-Hebei,74700000
Ch-Fujian,38560000
Ch-Guangxi,48380000
Ch-Shaanxi,37330000
Ch-Yunnan,45970000
Ch-Hainan,9258000
Ch-Guizhou,34750000
Ch-Tianjin,15000000
Ch-Shanxi,36500000
Ch-Liaoning,43900000
Ch-Jilin,27460000
Ch-Gansu,25580000
Ch-Xinjiang,21810000
Ch-Inner Mongolia,24710000
Ch-Ningxia,6301000
