location,Day_inf_detected
China,1
Italy,10
Iran,29
"Korea, South",1
Spain,11
Germany,6
France,3
US,1
Switzerland,35
United Kingdom,10
Norway,36
Sweden,10
Netherlands,37
Denmark,37
Japan,1
Cruise Ship,17
Belgium,14
Austria,35
Qatar,39
Australia,5
Malaysia,4
Greece,36
Finland,8
Singapore,2
Bahrain,34
Canada,5
Israel,31
Czechia,40
Slovenia,44
Portugal,41
Iceland,38
Brazil,36
Ireland,39
Romania,36
Estonia,37
Philippines,9
Iraq,34
Egypt,24
Kuwait,34
Poland,43
Saudi Arabia,41
India,9
Indonesia,41
Lebanon,31
United Arab Emirates,8
Thailand,1
San Marino,37
Chile,42
Russia,10
Taiwan*,1
Vietnam,2
Luxembourg,39
Serbia,45
Slovakia,45
Bulgaria,47
Brunei,48
Albania,48
South Africa,44
Croatia,35
Peru,45
Algeria,35
Panama,49
Argentina,42
Pakistan,36
Hungary,43
Georgia,36
Ecuador,40
Belarus,38
Costa Rica,45
Cyprus,48
Mexico,38
Latvia,41
Colombia,45
Oman,34
Malta,46
Tunisia,43
Bosnia and Herzegovina,44
Armenia,40
Morocco,41
Azerbaijan,40
North Macedonia,36
Moldova,47
Afghanistan,34
Dominican Republic,40
Maldives,47
Sri Lanka,6
Senegal,41
Bolivia,50
Martinique,46
Lithuania,38
Jamaica,50
Cambodia,6
Paraguay,47
Reunion,50
New Zealand,38
Kazakhstan,52
French Guiana,46
Turkey,50
Liechtenstein,43
Cuba,51
Uruguay,53
Bangladesh,47
Ghana,53
Ukraine,42
Venezuela,53
Seychelles,53
Trinidad and Tobago,53
Jersey,53
Nigeria,38
Monaco,39
Congo (Kinshasa),50
Honduras,50
Burkina Faso,49
Cameroon,45
Aruba,52
Namibia,53
Bhutan,45
Antigua and Barbuda,52
Guadeloupe,52
Cayman Islands,52
Andorra,41
Cote d'Ivoire,50
Curacao,53
Togo,45
Eswatini,53
Ethiopia,52
Gabon,53
Sudan,52
Suriname,53
Nepal,4
Guatemala,53
Guernsey,53
Guinea,52
Guyana,51
Holy See,45
Jordan,42
Kenya,52
Mauritania,53
Mongolia,49
Saint Vincent and the Grenadines,53
Saint Lucia,53
Rwanda,53
occupied Palestinian territory,54
