Region,2018
Beijing,3400000
Tianjin,560000
Hebei,750000
Shanxi,470000
Inner Mongolia,1790000
Liaoning,2300000
Jilin,1240000
Heilongjiang,1040000
Shanghai,6020000
Jiangsu,2650000
Zhejiang,3230000
Anhui,2190000
Fujian,2180000
Jiangxi,570000
Shandong,3060000
Henan,1050000
Hubei,3070000
Hunan,1790000
Guangdong,8620000
Guangxi,2700000
Hainan,900000
Chongqing,1590000
Sichuan,2760000
Guizhou,180000
Yunnan,5500000
Tibet,240000
Shaanxi,3070000
Gansu,60000
Qinghai,50000
Ningxia,30000
Xinjiang,860000
