Country Name,2018
Aruba,1082000
Afghanistan,
Angola,218000
Albania,5340000
Andorra,3042000
Arab World,101463695.3
United Arab Emirates,21286000
Argentina,6942000
Armenia,1652000
American Samoa,20200
Antigua and Barbuda,269000
Australia,9246000
Austria,30816000
Azerbaijan,2633000
Burundi,
Belgium,9119000
Benin,295000
Burkina Faso,144000
Bangladesh,
Bulgaria,9273000
Bahrain,12045000
"Bahamas, The",1633000
Bosnia and Herzegovina,1053000
Belarus,11501600
Belize,489000
Bermuda,282000
Bolivia,1142000
Brazil,6621000
Barbados,680000
Brunei Darussalam,278000
Bhutan,274000
Botswana,
Central African Republic,
Canada,21134000
Central Europe and the Baltics,100109000
Switzerland,10362000
Channel Islands,
Chile,5723000
China,62900000
Cote d'Ivoire,1965000
Cameroon,
"Congo, Dem. Rep.",
"Congo, Rep.",156000
Colombia,3904000
Comoros,35900
Cabo Verde,710000
Costa Rica,3017000
Caribbean small states,7351483.617
Cuba,4684000
Curacao,432000
Cayman Islands,463000
Cyprus,3939000
Czech Republic,10611000
Germany,38881000
Djibouti,
Dominica,63000
Denmark,12749000
Dominican Republic,6569000
Algeria,2657000
East Asia & Pacific (excluding high income),183241430.2
Early-demographic dividend,275587369.5
East Asia & Pacific,320268446.7
Europe & Central Asia (excluding high income),155252576.8
Europe & Central Asia,712592479.7
Ecuador,2535000
"Egypt, Arab Rep.",11196000
Euro area,413959200
Eritrea,
Spain,82773000
Estonia,3234000
Ethiopia,849000
European Union,555887200
Fragile and conflict affected situations,
Finland,3224000
Fiji,870000
France,89322000
Faroe Islands,
"Micronesia, Fed. Sts.",19200
Gabon,
United Kingdom,36316000
Georgia,4757000
Ghana,
Gibraltar,
Guinea,
"Gambia, The",552000
Guinea-Bissau,
Equatorial Guinea,
Greece,30123000
Grenada,185000
Greenland,
Guatemala,1781000
Guam,1549000
Guyana,287000
High income,866650998.2
"Hong Kong SAR, China",29263000
Honduras,
Heavily indebted poor countries (HIPC),
Croatia,16645000
Haiti,447000
Hungary,17552000
IBRD only,531740974.7
IDA & IBRD total,610304931
IDA total,
IDA blend,
Indonesia,15810000
IDA only,
Isle of Man,
India,17423000
Not classified,
Ireland,10926000
"Iran, Islamic Rep.",7295000
Iraq,
Iceland,2343800
Israel,4121000
Italy,61567200
Jamaica,2473000
Jordan,4150000
Japan,31192000
Kazakhstan,8789000
Kenya,
Kyrgyz Republic,423000
Cambodia,6201000
Kiribati,7100
St. Kitts and Nevis,125000
"Korea, Rep.",15347000
Kuwait,8508000
Latin America & Caribbean (excluding high income),93083127.41
Lao PDR,3770000
Lebanon,1964000
Liberia,
Libya,
St. Lucia,395000
Latin America & Caribbean,113348450.7
Least developed countries: UN classification,37193816.89
Low income,
Liechtenstein,85300
Sri Lanka,2334000
Lower middle income,152816175.8
Low & middle income,569038431.2
Lesotho,1173000
Late-demographic dividend,333351809.3
Lithuania,2825000
Luxembourg,1018000
Latvia,1946000
"Macao SAR, China",18493000
St. Martin (French part),
Morocco,12289000
Monaco,347000
Moldova,160000
Madagascar,291000
Maldives,1484000
Middle East & North Africa,110563609.2
Mexico,41313000
Marshall Islands,6800
Middle income,537884675.6
North Macedonia,707000
Mali,14000
Malta,2599000
Myanmar,3551000
Middle East & North Africa (excluding high income),57712158.75
Montenegro,2077000
Mongolia,529000
Northern Mariana Islands,517000
Mozambique,2743000
Mauritania,
Mauritius,1399000
Malawi,871000
Malaysia,25832000
North America,101161920
Namibia,
New Caledonia,120000
Niger,157000
Nigeria,
Nicaragua,1256000
Netherlands,18780000
Norway,5688000
Nepal,1173000
Nauru,
New Zealand,3686000
OECD members,787380920
Oman,2301000
Other small states,42781520.97
Pakistan,
Panama,1785000
Peru,4419000
Philippines,7168000
Palau,106000
Papua New Guinea,140000
Poland,19622000
Pre-demographic dividend,
Puerto Rico,3068000
"Korea, Dem. People’s Rep.",
Portugal,16186000
Paraguay,1181000
West Bank and Gaza,606000
Pacific island small states,1392601.449
Post-demographic dividend,773365720
French Polynesia,216300
Qatar,1819300
Romania,11720000
Russian Federation,24551000
Rwanda,
South Asia,26701056.84
Saudi Arabia,15334000
Sudan,836000
Senegal,
Singapore,14673000
Solomon Islands,27900
Sierra Leone,57000
El Salvador,1677300
San Marino,84000
Somalia,
Serbia,1711000
Sub-Saharan Africa (excluding high income),
South Sudan,
Sub-Saharan Africa,
Small states,51165258.71
Sao Tome and Principe,33400
Suriname,
Slovak Republic,2256000
Slovenia,4425000
Sweden,7440000
Eswatini,782000
Sint Maarten (Dutch part),178000
Seychelles,362000
Syrian Arab Republic,
Turks and Caicos Islands,441000
Chad,
East Asia & Pacific (IDA & IBRD countries),181041126.5
Europe & Central Asia (IDA & IBRD countries),191829289.6
Togo,573000
Thailand,38178000
Tajikistan,1035000
Turkmenistan,
Latin America & the Caribbean (IDA & IBRD countries),100122115.3
Timor-Leste,75000
Middle East & North Africa (IDA & IBRD countries),57104481.46
Tonga,54000
South Asia (IDA & IBRD),26701056.84
Sub-Saharan Africa (IDA & IBRD countries),
Trinidad and Tobago,375000
Tunisia,8299000
Turkey,45768000
Tuvalu,2700
Tanzania,1378000
Uganda,
Ukraine,14104000
Upper middle income,386697190.8
Uruguay,3469000
United States,79745920
Uzbekistan,5346000
St. Vincent and the Grenadines,80000
"Venezuela, RB",
British Virgin Islands,192000
Virgin Islands (U.S.),381000
Vietnam,15498000
Vanuatu,116000
World,1441953149
Samoa,164000
Kosovo,
"Yemen, Rep.",
South Africa,10472000
Zambia,1072000
Zimbabwe,2580000
