location,km2
Ch-Anhui,140200
Ch-Beijing,16808
Ch-Chongqing,82300
Ch-Fujian,121400
Ch-Guangdong,177900
Ch-Guangxi,237600
Ch-Guizhou,176167
Ch-Hainan,35354
Ch-Hebei,187700
Ch-Heilongjiang,454800
Ch-Henan,167000
Ch-Hubei,185900
Ch-Hunan,210000
Ch-Jiangsu,102600
Ch-Jiangxi,166900
Ch-Liaoning,145900
Ch-Shaanxi,205800
Ch-Shandong,157100
Ch-Shanghai,6340
Ch-Shanxi,156000
Ch-Sichuan,485000
Ch-Tianjin,11760
Ch-Yunnan,394000
Ch-Zhejiang,101800
Hong Kong,1106
Iran,1648000
Italy,301338
Japan,377915
Mexico,1973000
Singapore,721.5
"Korea, South",100210
Spain,505990
US,9834000
Norway,385203
Sweden,450295
Netherlands,41543
Denmark,42933
Qatar,11571
Bahrain,765.3
Israel,22145
Czechia,78865
Slovenia,20273
Iceland,103000
