"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Population ages 65 and above, total","SP.POP.65UP.TO","1346","1433","1513","1588","1671","1766","1867","1972","2087","2219","2365","2592","2834","3085","3324","3552","3661","3768","3871","3987","4117","4231","4360","4475","4568","4612","4624","4610","4601","4644","4758","4777","4895","5087","5315","5552","5813","6059","6310","6578","6887","7207","7557","7924","8277","8594","8993","9342","9678","10035","10460","10800","11200","11655","12149","12664","13219","13775","14343","",
"Afghanistan","AFG","Population ages 65 and above, total","SP.POP.65UP.TO","251763","257489","262225","265890","268393","269706","276591","282473","287330","291186","294047","302405","309809","315984","320690","323757","331130","335779","336812","333367","325198","323069","315216","302582","286403","267344","266581","266294","267537","271237","277110","298208","327281","361158","395795","428918","446710","456623","462165","467820","476265","490882","509839","531197","552252","571446","595225","615355","634055","654668","679477","709103","743602","780991","818110","852997","891627","927101","960879","",
"Angola","AGO","Population ages 65 and above, total","SP.POP.65UP.TO","164027","168440","171873","174436","176105","176688","175287","172128","167096","160658","153593","159658","166541","173834","180954","187486","192564","197456","202433","207803","213807","222381","231101","239690","247720","254995","262671","269472","276114","283540","292296","303986","316390","329122","341698","353916","368174","381751","394883","407872","420852","436308","451459","465962","479221","490962","504495","516473","527649","539088","551384","568563","586522","604290","620481","634610","652134","667656","682859","",
"Albania","ALB","Population ages 65 and above, total","SP.POP.65UP.TO","87049","89478","92504","95799","98983","101776","103456","104905","106590","108664","110896","113357","116143","118995","121914","124949","128252","131661","134971","138212","141573","145208","148987","152763","156439","159938","163457","166862","170216","175638","180595","184533","189221","194474","199849","205054","207943","210387","212661","215154","218028","223839","231640","239739","247942","255998","266503","276855","287381","298383","310103","320007","330283","340775","351913","363733","372634","383005","393976","",
"Andorra","AND","Population ages 65 and above, total","SP.POP.65UP.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population ages 65 and above, total","SP.POP.65UP.TO","3234225","3352609","3469470","3584776","3698270","3809935","3939319","4066216","4191645","4316656","4442280","4587447","4732009","4875588","5017224","5157335","5315788","5472123","5627797","5784698","5944263","6123853","6301811","6480241","6661954","6849912","7065460","7287560","7519114","7763206","8064277","8370338","8657337","8982024","9313402","9672492","10015939","10353214","10685323","11015111","11344828","11672022","11997113","12320307","12638465","12952803","13289587","13616630","13946303","14292986","14667787","15080882","15508701","15963579","16466321","17033363","17674286","18377118","19133535","",
"United Arab Emirates","ARE","Population ages 65 and above, total","SP.POP.65UP.TO","3174","3205","3306","3414","3469","3426","3330","3210","3136","3178","3371","3368","3825","4790","6251","8175","9283","10645","12176","13624","14756","15456","15684","15763","16022","16626","17222","18143","19330","20640","21943","22786","23530","24194","24827","25463","26741","28519","30587","32564","34242","34376","34450","35109","37096","40725","42575","46102","50490","54855","58618","66386","73369","79088","83361","86457","92392","98162","104496","",
"Argentina","ARG","Population ages 65 and above, total","SP.POP.65UP.TO","1133027","1180297","1227888","1276214","1325674","1376611","1432500","1488660","1545082","1601707","1658621","1720411","1781130","1840861","1899463","1956758","2021794","2084242","2144761","2204471","2264500","2323132","2383640","2445546","2507582","2569289","2643160","2711719","2777258","2843057","2910364","2987702","3065167","3141284","3213299","3280179","3350998","3416985","3478179","3534693","3587025","3646164","3698544","3747194","3795884","3847047","3906203","3966574","4029611","4096735","4158393","4248699","4340684","4434407","4529965","4627549","4733904","4840396","4946805","",
"Armenia","ARM","Population ages 65 and above, total","SP.POP.65UP.TO","118971","118444","118085","118071","118653","120033","122971","126712","131065","135673","140324","145866","150699","155123","159572","164225","169540","175037","180006","183381","184730","185087","183674","181555","180193","180501","181442","183512","186963","192187","199274","212954","227988","243212","257227","269661","278227","284705","290549","297814","307443","318197","331198","343925","352498","354771","352185","344052","333033","322973","316328","312532","311821","313314","315685","318224","322351","326775","332187","",
"American Samoa","ASM","Population ages 65 and above, total","SP.POP.65UP.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Population ages 65 and above, total","SP.POP.65UP.TO","2294","2313","2329","2333","2331","2338","2388","2442","2481","2509","2523","2652","2750","2819","2865","2891","3009","3121","3225","3313","3392","3530","3671","3808","3932","4059","4225","4396","4581","4770","4978","4982","4992","4999","5007","5005","5043","5060","5061","5041","5001","5104","5219","5347","5502","5687","5798","5927","6085","6267","6477","6672","6888","7124","7369","7632","7903","8183","8473","",
"Australia","AUS","Population ages 65 and above, total","SP.POP.65UP.TO","884868","904704","928144","946353","964280","981496","995393","998328","1006166","1018293","1031064","1079689","1112392","1142706","1187416","1220598","1254217","1293980","1336486","1376153","1413926","1460177","1501769","1534800","1569235","1613701","1662464","1715038","1773165","1832635","1887187","1945565","2000583","2048277","2095025","2142807","2191058","2233026","2272163","2314268","2360353","2410183","2459554","2512170","2565354","2625040","2675535","2703824","2774878","2860193","2947089","3045014","3166837","3296373","3419308","3537773","3662774","3789676","3912924","",
"Austria","AUT","Population ages 65 and above, total","SP.POP.65UP.TO","856398","874313","893358","912879","932415","951555","974014","995690","1013834","1029020","1043203","1063149","1082482","1099826","1111336","1116281","1130087","1144444","1153508","1154031","1147167","1140504","1121931","1096851","1078107","1069405","1073880","1087145","1105943","1126606","1145648","1169464","1189691","1202526","1207331","1207332","1213374","1217350","1220718","1225773","1232972","1248168","1264854","1282726","1305307","1332688","1363497","1395543","1429093","1460518","1488551","1514952","1540538","1566476","1594717","1628326","1652029","1667717","1681076","",
