,Ch-Hubei,Italy,Iran,Spain,Germany,France,"Korea, South",US,Switzerland,United Kingdom,Netherlands,Austria,Norway,Belgium,Ch-Guangdong,Sweden,Ch-Henan,Ch-Zhejiang,Denmark,Ch-Hunan,Ch-Anhui,Ch-Jiangxi,Japan,Malaysia,Ch-Shandong,Cruise Ship,Canada,Ch-Jiangsu,Ch-Chongqing,Australia,Ch-Sichuan,Ch-Heilongjiang,Ch-Beijing,Czechia,Qatar,Portugal,Israel,Greece,Brazil,Ch-Shanghai,Finland,Ch-Hebei,Singapore,Pakistan,Ch-Fujian,Ireland,Slovenia,Romania,Estonia,Bahrain,Ch-Guangxi,Poland,Iceland,Ch-Shaanxi,Chile,Indonesia,Thailand,Luxembourg,Philippines,Egypt,Ch-Hong Kong,Ch-Yunnan,Saudi Arabia,Ch-Hainan,Iraq,India,Russia,Ch-Guizhou,Peru,Kuwait,Ch-Tianjin,Ch-Gansu,Lebanon,Ch-Shanxi,Ch-Liaoning,San Marino,South Africa,United Arab Emirates,Ecuador,Slovakia,Taiwan*,Turkey,Colombia,Ch-Jilin,Mexico,Bulgaria,Panama,Armenia,Serbia,Croatia,Argentina,Ch-Xinjiang,Vietnam,Ch-Inner Mongolia,Ch-Ningxia,Algeria,Latvia,Brunei,Albania,Hungary,Jordan,Sri Lanka,Belarus,Costa Rica,Uruguay,Cyprus,Morocco,Oman,Andorra,Bosnia and Herzegovina,Malta,Georgia,Venezuela,Kazakhstan,North Macedonia,Cambodia,Senegal,Moldova,Tunisia,Liechtenstein,Azerbaijan,Lithuania,Afghanistan,Dominican Republic,Burkina Faso,New Zealand,Martinique,Ch-Qinghai,Uzbekistan,Ch-Macau,Bangladesh,Ukraine,Maldives,Jamaica,Bolivia,Paraguay,Cameroon,Honduras,Nigeria,Rwanda,Trinidad and Tobago,Cuba,Guyana,Ghana,Monaco,Ethiopia,Cote d'Ivoire,Mongolia,Guatemala,Equatorial Guinea,Seychelles,Congo (Kinshasa),Kenya,Tanzania,Kyrgyzstan,Mauritius,Sudan,Zambia,Saint Lucia,Namibia,Barbados,Benin,Liberia,Kosovo,Saint Vincent and the Grenadines,Gabon,Antigua and Barbuda,Bhutan,Central African Republic,Ch-Tibet,Congo (Brazzaville),Djibouti,Eswatini,Togo,"Gambia, The",Somalia,The Bahamas,Greenland,Guinea,Mauritania,Suriname,Montenegro,Nepal,Holy See
1/22/20,444,0,0,0,0,0,1,1,0,0,0,0,0,0,26,0,5,10,0,4,1,2,2,0,2,0,0,1,6,0,5,0,14,0,0,0,0,0,0,9,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,4,0,0,0,1,0,0,4,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/20,444,0,0,0,0,0,1,1,0,0,0,0,0,0,32,0,5,27,0,9,9,7,1,0,6,0,0,5,9,0,8,2,22,0,0,0,0,0,0,16,0,1,1,0,5,0,0,0,0,0,5,0,0,3,0,0,3,0,0,0,2,2,0,5,0,0,0,3,0,0,4,2,0,1,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/24/20,549,0,0,0,0,2,2,2,0,0,0,0,0,0,53,0,9,43,0,24,15,18,2,0,15,0,0,9,27,0,15,4,36,0,0,0,0,0,0,20,0,2,3,0,10,0,0,0,0,0,23,0,0,5,0,0,5,0,0,0,2,5,0,8,0,0,0,3,0,0,8,2,0,1,4,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/25/20,761,0,0,0,0,3,2,2,0,0,0,0,0,0,78,0,32,62,0,43,39,18,2,3,27,0,0,18,57,0,28,9,41,0,0,0,0,0,0,33,0,8,3,0,18,0,0,0,0,0,23,0,0,15,0,0,7,0,0,0,5,11,0,19,0,0,0,4,0,0,10,4,0,6,17,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,3,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1/26/20,1058,0,0,0,0,3,3,5,0,0,0,0,0,0,111,0,83,104,0,69,60,36,4,4,46,0,1,33,75,4,44,15,68,0,0,0,0,0,0,40,0,13,4,0,35,0,0,0,0,0,36,0,0,22,0,0,8,0,0,0,8,16,0,22,0,0,0,5,0,0,14,7,0,9,21,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,4,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1/27/20,1423,0,0,0,1,3,4,5,0,0,0,0,0,0,151,0,128,128,0,100,70,72,4,4,75,0,1,47,110,5,69,21,80,0,0,0,0,0,0,53,0,18,5,0,59,0,0,0,0,0,46,0,0,35,0,0,8,0,0,0,8,26,0,33,0,0,0,7,0,0,23,14,0,13,27,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,5,2,11,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1/28/20,3554,0,0,0,4,4,4,5,0,0,0,0,0,0,207,0,168,173,0,143,106,109,7,4,95,0,2,70,132,5,90,33,91,0,0,0,0,0,0,66,0,33,7,0,80,0,0,0,0,0,51,0,0,46,0,0,14,0,0,0,8,44,0,40,0,0,0,9,0,0,24,19,0,27,34,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,10,2,15,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1/29/20,3554,0,0,0,4,5,4,5,0,0,0,0,0,0,277,0,206,296,0,221,152,109,7,7,130,0,2,99,147,6,108,38,111,0,0,0,0,0,0,96,1,48,7,0,84,0,0,0,0,0,58,0,0,56,0,0,14,0,0,0,10,55,0,43,0,0,0,9,0,0,27,24,0,27,39,0,0,4,0,0,8,0,0,9,0,0,0,0,0,0,0,13,2,16,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1/30/20,4903,0,0,0,4,5,4,5,0,0,0,0,0,0,354,0,278,428,0,277,200,162,11,8,158,0,2,129,182,9,142,44,114,0,0,0,0,0,0,112,1,65,10,0,101,0,0,0,0,0,78,0,0,63,0,0,14,0,1,0,10,70,0,46,0,1,0,12,0,0,31,26,0,35,41,0,0,4,0,0,9,0,0,14,0,0,0,0,0,0,0,14,2,19,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1/31/20,5806,2,0,0,5,5,11,7,0,2,0,0,0,0,436,1,352,538,0,332,237,240,15,8,184,0,4,168,211,9,177,59,139,0,0,0,0,0,0,135,1,82,13,0,120,0,0,0,0,0,87,0,0,87,0,0,19,0,1,0,12,83,0,52,0,1,2,29,0,0,32,29,0,39,48,0,0,4,0,0,10,0,0,14,0,0,0,0,0,0,0,17,2,20,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2/1/20,7153,2,0,1,8,6,12,8,0,2,0,0,0,0,535,1,422,599,0,389,297,286,20,8,206,0,4,202,247,12,207,80,168,0,0,0,0,0,0,169,1,96,16,0,144,0,0,0,0,0,100,0,0,101,0,0,19,0,1,0,13,93,0,62,0,1,2,29,0,0,41,40,0,47,64,0,0,4,0,0,10,0,0,17,0,0,0,0,0,0,0,18,6,23,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2/2/20,11177,2,0,1,10,6,15,8,0,2,0,0,0,0,632,1,493,661,0,463,340,333,20,8,230,0,4,236,300,12,231,95,191,0,0,0,0,0,0,182,1,104,18,0,159,0,0,0,0,0,111,0,0,116,0,0,19,0,2,0,15,105,0,64,0,2,2,38,0,0,48,51,0,66,70,0,0,5,0,0,10,0,0,23,0,0,0,0,0,0,0,21,6,27,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2/3/20,13522,2,0,1,12,6,15,11,0,2,0,0,0,0,725,1,566,724,0,521,408,391,20,8,259,0,4,271,337,12,254,121,212,0,0,0,0,0,0,203,1,113,18,0,179,0,0,0,0,0,127,0,0,128,0,0,19,0,2,0,15,117,0,72,0,3,2,46,0,0,60,55,0,74,74,0,0,5,0,0,10,0,0,31,0,0,0,0,0,0,0,24,8,34,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2/4/20,16678,2,0,1,12,6,16,11,0,2,0,0,0,1,813,1,675,829,0,593,480,476,22,10,275,0,4,308,366,13,282,155,228,0,0,0,0,0,0,219,1,126,24,0,194,0,0,0,0,0,139,0,0,142,0,0,25,0,2,0,17,122,0,80,0,3,2,58,0,0,67,57,0,81,81,0,0,5,0,0,11,0,0,42,0,0,0,0,0,0,0,29,8,35,34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2/5/20,19665,2,0,1,12,6,19,11,0,2,0,0,0,1,895,1,764,895,0,661,530,548,22,12,307,0,5,341,389,13,301,190,253,0,0,0,0,0,0,243,1,135,28,0,205,0,0,0,0,0,150,0,0,165,0,0,25,0,2,0,21,128,0,99,0,3,2,64,0,0,69,62,0,81,89,0,0,5,0,0,11,0,0,54,0,0,0,0,0,0,0,32,8,42,34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2/6/20,22112,2,0,1,12,6,23,11,0,2,0,0,0,1,970,1,851,954,0,711,591,600,45,12,347,0,5,373,411,14,321,227,274,0,0,0,0,0,0,257,1,157,28,0,215,0,0,0,0,0,168,0,0,173,0,0,25,0,2,0,24,133,0,106,0,3,2,71,0,0,79,62,0,96,94,0,0,5,0,0,16,0,0,59,0,0,0,0,0,0,0,36,10,46,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2/7/20,24953,3,0,1,13,6,24,11,0,3,0,0,0,1,1034,1,914,1006,0,772,665,661,25,12,386,61,7,408,426,15,344,277,297,0,0,0,0,0,0,277,1,172,30,0,224,0,0,0,0,0,172,0,0,184,0,0,25,0,3,0,25,138,0,117,0,3,2,81,0,0,81,67,0,104,99,0,0,5,0,0,16,0,0,65,0,0,0,0,0,0,0,39,10,50,43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2/8/20,27100,3,0,1,13,11,24,11,0,3,0,0,0,1,1095,1,981,1048,0,803,733,698,25,16,416,61,7,439,428,15,364,295,315,0,0,0,0,0,0,286,1,195,33,0,239,0,0,0,0,0,183,0,0,195,0,0,32,0,3,0,26,138,0,124,0,3,2,89,0,0,88,79,0,115,105,0,0,7,0,0,17,0,0,69,0,0,0,0,0,0,0,42,13,52,45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2/9/20,29631,3,0,2,14,11,25,11,0,3,0,0,0,1,1131,1,1033,1075,0,838,779,740,26,16,444,64,7,468,468,15,386,307,326,0,0,0,0,0,0,293,1,206,40,0,250,0,0,0,0,0,195,0,0,208,0,0,32,0,3,0,29,141,0,131,0,3,2,99,0,0,91,83,0,119,107,0,0,7,0,0,18,0,0,78,0,0,0,0,0,0,0,45,13,54,45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2/10/20,31728,3,0,2,14,11,27,11,0,8,0,0,0,1,1159,1,1073,1092,0,879,830,771,26,18,466,135,7,492,486,15,405,331,337,0,0,0,0,0,0,299,1,218,45,0,261,0,0,0,0,0,210,0,0,213,0,0,32,0,3,0,38,149,0,138,0,3,2,109,0,0,95,83,0,119,108,0,0,8,0,0,18,0,0,80,0,0,0,0,0,0,0,49,14,58,49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2/11/20,33366,3,0,2,16,11,28,12,0,8,0,0,0,1,1177,1,1105,1117,0,912,860,804,26,18,487,135,7,515,505,15,417,360,342,0,0,0,0,0,0,303,1,239,47,0,267,0,0,0,0,0,215,0,0,219,0,0,33,0,3,0,49,153,0,144,0,3,2,127,0,0,106,86,0,124,111,0,0,8,0,0,18,0,0,81,0,0,0,0,0,0,0,55,15,58,53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2/12/20,33366,3,0,2,16,11,28,12,0,9,0,0,0,1,1219,1,1135,1131,0,946,889,844,28,18,497,175,7,543,518,15,436,378,352,0,0,0,0,0,0,311,1,251,50,0,272,0,0,0,0,0,222,0,0,225,0,0,33,0,3,0,50,154,0,157,0,3,2,133,0,0,112,87,0,126,116,0,0,8,0,0,18,0,0,83,0,0,0,0,0,0,0,59,15,60,58,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2/13/20,48206,3,0,2,16,11,28,13,0,9,0,0,0,1,1241,1,1169,1145,0,968,910,872,28,19,509,175,7,570,529,15,451,395,366,0,0,0,0,0,0,315,1,265,58,0,279,0,0,0,0,0,222,0,0,229,0,0,33,0,3,0,53,156,0,157,0,3,2,135,0,0,119,90,0,126,117,0,0,8,0,0,18,0,0,84,0,0,0,0,0,0,0,63,16,61,64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2/14/20,54406,3,0,2,16,11,28,13,0,9,0,0,0,1,1261,1,1184,1155,0,988,934,900,29,19,523,218,7,593,537,15,463,419,372,0,0,0,0,0,0,318,1,283,67,0,281,0,0,0,0,0,226,0,0,230,0,0,33,0,3,1,56,162,0,159,0,3,2,140,0,0,120,90,0,127,119,0,0,8,0,0,18,0,0,86,0,0,0,0,0,0,0,65,16,65,67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2/15/20,56249,3,0,2,16,12,28,13,0,9,0,0,0,1,1294,1,1212,1162,0,1001,950,913,43,22,532,285,7,604,544,15,470,425,375,0,0,0,0,0,0,326,1,291,72,0,285,0,0,0,0,0,235,0,0,232,0,0,33,0,3,1,56,168,0,162,0,3,2,143,0,0,122,90,0,128,119,0,0,8,0,0,18,0,0,88,0,0,0,0,0,0,0,70,16,68,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2/16/20,58182,3,0,2,16,12,29,13,0,9,0,0,0,1,1316,1,1231,1167,0,1004,962,925,59,22,537,355,7,617,551,15,481,445,380,0,0,0,0,0,0,328,1,300,75,0,287,0,0,0,0,0,237,0,0,236,0,0,34,0,3,1,57,171,0,162,0,3,2,144,0,0,124,90,0,129,121,0,0,9,0,0,20,0,0,89,0,0,0,0,0,0,0,71,16,70,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2/17/20,59989,3,0,2,16,12,30,13,0,9,0,0,0,1,1322,1,1246,1171,0,1006,973,930,66,22,541,454,8,626,553,15,495,457,381,0,0,0,0,0,0,333,1,301,77,0,290,0,0,0,0,0,238,0,0,240,0,0,35,0,3,1,60,171,0,163,0,3,2,146,0,0,125,91,0,130,121,0,0,9,0,0,22,0,0,89,0,0,0,0,0,0,0,75,16,72,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
