location,L,k,a,R2
Ch-Hubei,67687.54696802772,0.23510803940643127,18.684285910389402,0.9936477077853072
Italy,89999.99999988056,0.21254967649125633,57.72450947538937,0.9941941403412023
Iran,15045.405255532363,0.2919386572289306,47.15118702072381,0.9957673522605832
"Korea, South",8059.642758383159,0.34791913487900633,39.519960003785286,0.9995780814622846
Spain,89999.9999350449,0.38253504820802814,58.66268288822035,0.982342184263518
Germany,89999.99999981422,0.28170950792541766,62.45723599687196,0.988833275668771
France,89999.99999951485,0.25535839767028407,63.56045333356705,0.9918839079861758
US,10136.167026571284,0.3223636979869161,55.0690053348428,0.9981784806044566
Switzerland,89999.99999999639,0.26106966537954707,67.99659615646277,0.9890797638748263
Ch-Guangdong,1344.6809557489255,0.2805107738149338,11.7108702281037,0.9986127446221489
Ch-Henan,1270.82010605918,0.28290133571981124,12.685751570241786,0.9989373777286313
Ch-Zhejiang,1199.261309478728,0.3157335623706057,10.493061790983376,0.995984831880412
United Kingdom,89999.99999999351,0.2655939670101503,68.67387606357214,0.9810621330740862
Norway,1702.0375437558862,0.4568282482254248,50.56630876831416,0.9942031349158913
Ch-Hunan,1017.6334572954066,0.2856115165514422,11.904236469850138,0.9984147244424246
Ch-Anhui,992.5786382496486,0.28193626437684294,13.340843504634151,0.9993958366940604
Sweden,2042.7526064139886,0.3573010558936274,52.289751877969046,0.9982713411582599
Netherlands,3041.0831814579474,0.29481249739618876,54.6764191842584,0.9898964877159266
Ch-Jiangxi,936.7065702602232,0.2950338068533014,13.09700873076775,0.9987944681398249
Denmark,896.7080307089027,0.9541423572077541,49.035363048380745,0.9983950621842769
Japan,1889.1552042832939,0.11041831848139394,55.56627656729214,0.9971415010781333
Ch-Shandong,773.878911712759,0.1524691852516156,17.359899784660293,0.9780824218645008
Cruise Ship,705.2794808041615,0.3938098415347911,24.41708578841525,0.9963764579752235
Belgium,89999.29657063646,0.24958255765656986,71.55696733632065,0.97786564645298
Austria,89999.99999973539,0.3240102096065516,67.16587972051695,0.9963090840461437
Ch-Jiangsu,634.1100458970059,0.25769773114378214,13.499202687489106,0.9977359002073741
Ch-Chongqing,573.8937611951585,0.2435800564741591,11.248793780506295,0.9964002488736006
Ch-Sichuan,536.4724423899102,0.20920465250497838,13.193008307431251,0.9951713833420773
Ch-Heilongjiang,481.7113849845141,0.2736752040040523,15.745905332757717,0.9987162820679475
Ch-Beijing,416.7309451248418,0.20668355089890406,12.146757719184738,0.9947123234746886
Ch-Shanghai,337.98091781936654,0.272169423675623,10.664397754527982,0.9974431177549264
Qatar,364.4088912295405,0.9999999999999959,48.981200055589476,0.9603876433479827
Ch-Hebei,318.89216826318574,0.22775887815122903,14.918739979961545,0.9966124388070212
Ch-Fujian,294.75066680802036,0.26022672284041665,10.719432903321893,0.9958029373325329
Ch-Guangxi,251.85015548442956,0.2226946892392304,12.163899462191276,0.9980679718652032
Australia,89999.99999999984,0.15978889061974502,89.58434039389404,0.9449485606064701
Ch-Shaanxi,244.5673498494734,0.27291591598913323,11.654759806980351,0.9982119042930765
Malaysia,89999.99999997388,0.13453379694463297,96.6282772742907,0.9592549397162222
Greece,89999.98357070558,0.2422551981025174,76.77184235568593,0.9751090737749674
Finland,89999.99999936906,0.4554522449623485,65.16162925481073,0.9791305049197243
Singapore,459.1162437634025,0.060952093984241444,57.44726857886447,0.9588884454888543
Bahrain,771.5216109398668,0.1673456282368416,57.4356567363077,0.9662802157586955
Canada,89999.93645258344,0.1827086992935249,85.48734892565798,0.9751962176069537
Israel,495.14072264508707,0.279228358980388,53.617066316038574,0.9978726471593327
Czechia,1569.893821298058,0.3425848645049083,57.799364045029925,0.9911990232949451
Slovenia,293.7761981138143,0.6407669576168818,51.22322630986929,0.9983110416492524
Ch-Yunnan,172.31235916450268,0.27085819963106156,10.117380715584675,0.9884027796733422
Portugal,89999.9999999998,0.3572112679361302,69.68508292765979,0.9854329837470649
Ch-Hainan,169.36547918743867,0.23251379930975413,12.56515573882374,0.9961861834606823
Iceland,503.2279655303199,0.23597557188690152,55.461331412507846,0.9886161134958237
Mexico,89999.9999734268,0.1795832911092606,98.96355690502871,0.8913389437385624
