,Ch-Hubei,Italy,Iran,"Korea, South",Spain,Germany,France,US,Switzerland,Ch-Guangdong,Ch-Henan,Ch-Zhejiang,United Kingdom,Norway,Ch-Hunan,Ch-Anhui,Sweden,Netherlands,Ch-Jiangxi,Denmark,Japan,Ch-Shandong,Cruise Ship,Belgium,Austria,Ch-Jiangsu,Ch-Chongqing,Ch-Sichuan,Ch-Heilongjiang,Ch-Beijing,Ch-Shanghai,Qatar,Ch-Hebei,Ch-Fujian,Ch-Guangxi,Australia,Ch-Shaanxi,Malaysia,Greece,Finland,Singapore,Bahrain,Canada,Israel,Czechia,Slovenia,Ch-Yunnan,Portugal,Ch-Hainan,Iceland,Brazil,Ch-Guizhou,Ch-Hong Kong,Ch-Tianjin,Ch-Shanxi,Ch-Gansu,Ireland,Ch-Liaoning,Romania,Estonia,Philippines,Iraq,Egypt,Kuwait,Poland,Saudi Arabia,India,Indonesia,Ch-Jilin,Lebanon,United Arab Emirates,Thailand,San Marino,Ch-Xinjiang,Ch-Ningxia,Ch-Inner Mongolia,Chile,Russia,Vietnam,Taiwan*,Luxembourg,Serbia,Slovakia,Bulgaria,Brunei,Peru,South Africa,Croatia,Albania,Algeria,Panama,Argentina,Pakistan,Georgia,Hungary,Ecuador,Belarus,Costa Rica,Mexico,Cyprus,Latvia,Colombia,Oman,Bosnia and Herzegovina,Armenia,Malta,Tunisia,Ch-Qinghai,Morocco,Azerbaijan,North Macedonia,Moldova,Afghanistan,Dominican Republic,Maldives,Senegal,Sri Lanka,Bolivia,Ch-Macau,Martinique,Lithuania,Jamaica,Cambodia,New Zealand,Kazakhstan,Reunion,Paraguay,French Guiana,Turkey,Liechtenstein,Uruguay,Cuba,Bangladesh,Ukraine,Ghana,Jersey,Venezuela,Aruba,Burkina Faso,Monaco,Nigeria,Namibia,Congo (Kinshasa),Honduras,Seychelles,Trinidad and Tobago,Cameroon,Suriname,Togo,Sudan,Guernsey,Saint Vincent and the Grenadines,Saint Lucia,Andorra,Antigua and Barbuda,Bhutan,Cayman Islands,Ch-Tibet,Cote d'Ivoire,Curacao,Eswatini,Ethiopia,Gabon,Guadeloupe,Guatemala,Guinea,Guyana,Holy See,Jordan,Kenya,Mauritania,Mongolia,Nepal,Rwanda,occupied Palestinian territory
1/22/20,444,0,0,1,0,0,0,1,0,26,5,10,0,0,4,1,0,0,2,0,2,2,0,0,0,1,6,5,0,14,9,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/20,444,0,0,1,0,0,0,1,0,32,5,27,0,0,9,9,0,0,7,0,1,6,0,0,0,5,9,8,2,22,16,0,1,5,5,0,3,0,0,0,1,0,0,0,0,0,2,0,5,0,0,3,2,4,1,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/24/20,549,0,0,2,0,0,2,2,0,53,9,43,0,0,24,15,0,0,18,0,2,15,0,0,0,9,27,15,4,36,20,0,2,10,23,0,5,0,0,0,3,0,0,0,0,0,5,0,8,0,0,3,2,8,1,2,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,2,2,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/25/20,761,0,0,2,0,0,3,2,0,78,32,62,0,0,43,39,0,0,18,0,2,27,0,0,0,18,57,28,9,41,33,0,8,18,23,0,15,3,0,0,3,0,0,0,0,0,11,0,19,0,0,4,5,10,6,4,0,17,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,3,3,7,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1/26/20,1058,0,0,3,0,0,3,5,0,111,83,104,0,0,69,60,0,0,36,0,4,46,0,0,0,33,75,44,15,68,40,0,13,35,36,4,22,4,0,0,4,0,1,0,0,0,16,0,22,0,0,5,8,14,9,7,0,21,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,4,4,7,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1/27/20,1423,0,0,4,0,1,3,5,0,151,128,128,0,0,100,70,0,0,72,0,4,75,0,0,0,47,110,69,21,80,53,0,18,59,46,5,35,4,0,0,5,0,1,0,0,0,26,0,33,0,0,7,8,23,13,14,0,27,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,5,7,11,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1/28/20,3554,0,0,4,0,4,4,5,0,207,168,173,0,0,143,106,0,0,109,0,7,95,0,0,0,70,132,90,33,91,66,0,33,80,51,5,46,4,0,0,7,0,2,0,0,0,44,0,40,0,0,9,8,24,27,19,0,34,0,0,0,0,0,0,0,0,0,0,8,0,0,14,0,10,11,15,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1/29/20,3554,0,0,4,0,4,5,5,0,277,206,296,0,0,221,152,0,0,109,0,7,130,0,0,0,99,147,108,38,111,96,0,48,84,58,6,56,7,0,1,7,0,2,0,0,0,55,0,43,0,0,9,10,27,27,24,0,39,0,0,0,0,0,0,0,0,0,0,9,0,4,14,0,13,12,16,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1/30/20,4903,0,0,4,0,4,5,5,0,354,278,428,0,0,277,200,0,0,162,0,11,158,0,0,0,129,182,142,44,114,112,0,65,101,78,9,63,8,0,1,10,0,2,0,0,0,70,0,46,0,0,12,10,31,35,26,0,41,0,0,1,0,0,0,0,0,1,0,14,0,4,14,0,14,17,19,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1/31/20,5806,2,0,11,0,5,5,7,0,436,352,538,2,0,332,237,1,0,240,0,15,184,0,0,0,168,211,177,59,139,135,0,82,120,87,9,87,8,0,1,13,0,4,0,0,0,83,0,52,0,0,29,12,32,39,29,0,48,0,0,1,0,0,0,0,0,1,0,14,0,4,19,0,17,21,20,0,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
