location,L,k,a,R2
Ch-Hubei,67562.58057140296,0.23597631858500684,18.66171639643847,0.9918119039949268
South Korea,7957.233018404867,0.3641602839628855,39.3521080369902,0.9985397906156691
Italy,4362.750134119202,0.414285926550335,40.28299562141007,0.9983857147330962
Iran,25663.054067527482,0.47202966597835117,45.876146233804334,0.9998957224090435
Ch-Guangdong,1338.8011641456494,0.28362853594313014,11.662214424847027,0.9985533037398817
Ch-Henan,1269.6583973907207,0.2835135311455764,12.675766335821361,0.998778694308497
Ch-Zhejiang,1189.5070760301433,0.32248140821668386,10.410475394212625,0.9961057647748564
Ch-Hunan,1017.3471775744864,0.28579792252718694,11.901177955634857,0.9981897550795141
Ch-Anhui,994.3521557700125,0.28081841807926033,13.359942263238056,0.9993192146180881
Ch-Jiangxi,937.8427359041941,0.29421813075913,13.109701713265116,0.9986199029271654
Ch-Shandong,790.1242304901311,0.14699236249985548,17.764404910412747,0.9716615555992196
Ch-Jiangsu,636.4442975065131,0.25565034900447264,13.543195233123901,0.9974333834499218
Ch-Chongqing,572.2178474108448,0.24538932077203052,11.211434603871519,0.9959058825925114
Ch-Sichuan,533.422473040286,0.21203350149825523,13.108274189203398,0.9943280247212791
Ch-Heilongjiang,481.983178459395,0.27332742260409965,15.752256442263828,0.9984587708798466
Ch-Beijing,405.6263915112882,0.22172440527644807,11.766413857979611,0.9980604958893707
Ch-Shanghai,334.52612591200295,0.27952679161126753,10.548671108317102,0.9982658763461847
Ch-Hebei,319.49713245485316,0.2268670556283669,14.943636314696938,0.9959225703795462
Ch-Fujian,293.8803121582895,0.2621413171561625,10.683756894079265,0.995283090494375
Japan,507.94991405129457,0.14654715549887556,38.71050795752327,0.9915049189074924
Ch-Guangxi,251.60659514510886,0.22320428644892987,12.150833750995654,0.9977376617315329
Ch-Shaanxi,244.2574589653351,0.2737465251140653,11.640378308165445,0.9979645025511069
Ch-Yunnan,171.15238132131196,0.276303468852219,10.032821122539495,0.9871992930922759
Ch-Hainan,170.39549512599442,0.22950210990741535,12.640414184144545,0.9957976748917281
Spain,302.7870018952638,0.5989826730445652,40.694512852332885,0.9974045933570641
Ch-Guizhou,147.98405551025817,0.29809104665531877,14.961815125068531,0.996795132616803
Ch-Tianjin,137.02655000652476,0.20702081635286462,13.962884592030003,0.9973723547992447
Ch-Shanxi,132.42450873852448,0.3081273937559911,11.605056571180944,0.996875742133546
Ch-Liaoning,121.68665173368588,0.2672596950996333,10.216925261875579,0.9961338593204413
US,89999.99999831508,0.11490915246435171,99.41137753210023,0.9611730683148265
Singapore,104.97088688336825,0.17301296889914772,20.73479309775428,0.992003697732185
Hong Kong,109.71474406555062,0.13117368186920222,24.53209654921629,0.9874731211791955
Ch-Jilin,91.65818051511178,0.34619551979206975,13.5725263982105,0.9974418974983104
Ch-Gansu,91.39669090887199,0.29232473587167057,11.142650038301843,0.994345898752982
Ch-Xinjiang,78.09161054723874,0.22148494441030925,15.73193021686212,0.9956078789111091
Ch-Inner Mongolia,75.70077151632576,0.2169258350657161,13.521762511686914,0.9948450790351514
Ch-Ningxia,73.56802807635647,0.21281468244213747,14.262919211114417,0.9910497227045091
Mexico,5.684350343290961,0.9999999999999999,37.78360508113446,0.9667281332704757
