location,L,k,a,R2,lat,lng,Population
Ch-Hubei,67566.86257648794,0.23594853434642296,18.662483895699925,0.9920645620907244,30.861037885714293,30.861037885714293,59020000.0
South Korea,7560.810155477676,0.3734568126664348,39.07209185797573,0.9988691328088865,35.907757,127.766922,51635256.0
Italy,5194.905568335737,0.38975262121447696,41.08099644740198,0.9987329538551214,41.871941,12.56738,60431283.0
Iran,5008.498813633134,0.5818699138684721,41.368523794563096,0.9987303276074744,32.42791,53.688046,81800269.0
Ch-Guangdong,1339.4577767953979,0.283283524463134,11.667614231810072,0.998564327071016,22.993891082191784,22.993891082191784,113460000.0
Ch-Henan,1269.8167072350454,0.2834310654634158,12.677123036898168,0.9987987705929546,34.19912633333333,34.19912633333333,94000000.0
Ch-Zhejiang,1190.6825019418006,0.3216704997227228,10.420335042419131,0.9960938927356006,29.29878753968253,29.29878753968253,57370000.0
Ch-Hunan,1017.3947406747528,0.2857670658509056,11.901684109632845,0.9982180502565228,27.658509313725496,27.658509313725496,67370000.0
Ch-Anhui,994.105342153795,0.28097180484591905,13.357285098083384,0.9993285971256416,31.771151938271593,31.771151938271593,62000000.0
Ch-Jiangxi,937.6860470054237,0.29432942486684777,13.107951596100518,0.9986418859310301,27.535572975308646,27.535572975308646,45200000.0
Ch-Shandong,788.1454630553827,0.14757184868976747,17.716276491067482,0.9725949691303236,36.477940971830996,36.477940971830996,100470000.0
Ch-Jiangsu,636.1093983496696,0.2559378970188511,13.536889645949485,0.9974704378973716,32.42833896341463,32.42833896341463,80400000.0
Ch-Chongqing,572.4758088748123,0.2451149764984033,11.217156932808079,0.9959657231975504,29.90533037037037,29.90533037037037,30480000.0
Ch-Sichuan,533.8941310699081,0.21160911455484085,13.12123396142792,0.9944324887638568,30.142933942675153,30.142933942675153,81100000.0
Ch-Heilongjiang,481.86309442303263,0.2734797998904266,15.749453609646244,0.9984910561205634,46.90845541284403,46.90845541284403,38310000.0
Ch-Beijing,406.5405880852542,0.22051901907965368,11.796712051264436,0.9979072160416882,40.031107555555565,40.031107555555565,21540000.0
Ch-Shanghai,334.71865189458634,0.27912076009390946,10.555035775889838,0.998271252377135,31.207499083333335,31.207499083333335,24240000.0
Japan,573.7913844907567,0.14042554779772293,40.2520555310208,0.9925185724495058,36.204823,138.25293,126529100.0
Ch-Hebei,319.43207571780783,0.22695854820843864,14.940975479125486,0.9960144411305146,38.960113714285725,38.960113714285725,74700000.0
Ch-Fujian,294.0071831625592,0.2618647703119361,10.688929321563373,0.995345810685794,25.80888216949153,25.80888216949153,38560000.0
Ch-Guangxi,251.65733339730946,0.22310066330684356,12.153543102829293,0.9977793853080134,23.843575987804872,23.843575987804872,48380000.0
Ch-Shaanxi,244.3040162506921,0.2736230712458433,11.642533016020614,0.9979951880672988,34.40674291304348,34.40674291304348,37330000.0
Spain,384.46858893830284,0.5508042167218594,41.45600084491186,0.9984574800198656,40.463669,-3.74922,46723749.0
Ch-Yunnan,171.31792792643083,0.2755268630162686,10.044791551453294,0.987337956875616,25.910894456310693,25.910894456310693,45970000.0
Ch-Hainan,170.2472172102284,0.22992248940616605,12.629568251979935,0.9958418098924174,19.192708000000003,19.192708000000003,9258000.0
US,89999.99998440234,0.12790140936106534,92.81225139455928,0.9626652389059408,37.09024,-95.712891,327167434.0
Ch-Guizhou,147.8626061059444,0.2985840814587891,14.953785313238454,0.9968307005426568,27.505822823529417,27.505822823529417,34750000.0
Ch-Tianjin,136.97432192008128,0.2071874531961455,13.957466744048832,0.9974273808803062,39.12123691666666,39.12123691666666,15000000.0
Ch-Shanxi,132.4554312396408,0.3079622464695282,11.607365662737873,0.9969195041707104,37.47228042592592,37.47228042592592,36500000.0
Ch-Liaoning,121.86881621065416,0.2663012920398909,10.233946129147439,0.9960506753014348,41.07471741025641,41.07471741025641,43900000.0
Singapore,106.53816868200843,0.16899878819259584,20.975952394190205,0.9916288749819144,1.352083,103.819839,5638676.0
Hong Kong,112.19447907223876,0.12825984420235026,24.95978467657261,0.9879124255967194,22.396427,114.109497,7451000.0
Mexico,5.464528761653866,1.0,37.69728084298718,0.9709271971968488,23.634501,-102.552788,126190788.0
