Country Name,Country Code,Indicator Name,Indicator Code,2018
Aruba,ABW,"Population, total",SP.POP.TOTL,105845
Afghanistan,AFG,"Population, total",SP.POP.TOTL,37172386
Angola,AGO,"Population, total",SP.POP.TOTL,30809762
Albania,ALB,"Population, total",SP.POP.TOTL,2866376
Andorra,AND,"Population, total",SP.POP.TOTL,77006
Arab World,ARB,"Population, total",SP.POP.TOTL,419790588
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9630959
Argentina,ARG,"Population, total",SP.POP.TOTL,44494502
Armenia,ARM,"Population, total",SP.POP.TOTL,2951776
American Samoa,ASM,"Population, total",SP.POP.TOTL,55465
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,96286
Australia,AUS,"Population, total",SP.POP.TOTL,24992369
Austria,AUT,"Population, total",SP.POP.TOTL,8847037
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9942334
Burundi,BDI,"Population, total",SP.POP.TOTL,11175378
Belgium,BEL,"Population, total",SP.POP.TOTL,11422068
Benin,BEN,"Population, total",SP.POP.TOTL,11485048
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,19751535
Bangladesh,BGD,"Population, total",SP.POP.TOTL,161356039
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7024216
Bahrain,BHR,"Population, total",SP.POP.TOTL,1569439
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,385640
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3323929
Belarus,BLR,"Population, total",SP.POP.TOTL,9485386
Belize,BLZ,"Population, total",SP.POP.TOTL,383071
Bermuda,BMU,"Population, total",SP.POP.TOTL,63968
Bolivia,BOL,"Population, total",SP.POP.TOTL,11353142
Brazil,BRA,"Population, total",SP.POP.TOTL,209469333
Barbados,BRB,"Population, total",SP.POP.TOTL,286641
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,428962
Bhutan,BTN,"Population, total",SP.POP.TOTL,754394
Botswana,BWA,"Population, total",SP.POP.TOTL,2254126
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4666377
Canada,CAN,"Population, total",SP.POP.TOTL,37058856
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,102511922
Switzerland,CHE,"Population, total",SP.POP.TOTL,8516543
Channel Islands,CHI,"Population, total",SP.POP.TOTL,170499
Chile,CHL,"Population, total",SP.POP.TOTL,18729160
China,CHN,"Population, total",SP.POP.TOTL,1392730000
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,25069229
Cameroon,CMR,"Population, total",SP.POP.TOTL,25216237
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,84068091
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5244363
Colombia,COL,"Population, total",SP.POP.TOTL,49648685
Comoros,COM,"Population, total",SP.POP.TOTL,832322
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,543767
Costa Rica,CRI,"Population, total",SP.POP.TOTL,4999441
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,7358965
Cuba,CUB,"Population, total",SP.POP.TOTL,11338138
Curacao,CUW,"Population, total",SP.POP.TOTL,159849
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,64174
Cyprus,CYP,"Population, total",SP.POP.TOTL,1189265
Czechia,CZE,"Population, total",SP.POP.TOTL,10625695
Germany,DEU,"Population, total",SP.POP.TOTL,82927922
Djibouti,DJI,"Population, total",SP.POP.TOTL,958920
Dominica,DMA,"Population, total",SP.POP.TOTL,71625
