date,y,y-1,y-2
3/1/20,1272,1272,1272
2/29/20,1272,1272,1272
2/28/20,1272,1272,1271
2/27/20,1272,1271,1271
2/26/20,1271,1271,1271
2/25/20,1271,1271,1271
2/24/20,1271,1271,1270
2/23/20,1271,1270,1267
2/22/20,1270,1267,1265
2/21/20,1267,1265,1262
2/20/20,1265,1262,1257
2/19/20,1262,1257,1246
2/18/20,1257,1246,1231
2/17/20,1246,1231,1212
2/16/20,1231,1212,1184
2/15/20,1212,1184,1169
2/14/20,1184,1169,1135
2/13/20,1169,1135,1105
2/12/20,1135,1105,1073
2/11/20,1105,1073,1033
2/10/20,1073,1033,981
2/9/20,1033,981,914
2/8/20,981,914,851
2/7/20,914,851,764
2/6/20,851,764,675
2/5/20,764,675,566
2/4/20,675,566,493
2/3/20,566,493,422
2/2/20,493,422,352
2/1/20,422,352,278
1/31/20,352,278,206
1/30/20,278,206,168
1/29/20,206,168,128
1/28/20,168,128,83
1/27/20,128,83,32
1/26/20,83,32,9
1/25/20,32,9,5
1/24/20,9,5,5
1/23/20,5,5,0
1/22/20,5,0,0
